index,lat,lng,Full Location,City,Zipcode
Boylston St at Fairfield St,42.34886071291697,-71.08237558606329,"{'house_number': '815-825', 'road': 'Boylston Street', 'commercial': 'Block G', 'suburb': 'Back Bay', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02116', 'country': 'United States', 'country_code': 'us'}",Boston,02116
Boylston St at Jersey St,42.34462326893916,-71.09715458013486,"{'tourism': 'The Viridian', 'house_number': '1282', 'road': 'Boylston Street', 'neighbourhood': 'Audubon Square', 'suburb': 'Fenway / Kenmore', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02215', 'country': 'United States', 'country_code': 'us'}",Boston,02215
Boylston St at Massachusetts Ave,42.34740620525209,-71.08678414955648,"{'amenity': 'Bluebikes', 'house_number': '950', 'road': 'Boylston Street', 'suburb': 'Fenway / Kenmore', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02116', 'country': 'United States', 'country_code': 'us'}",Boston,02116
Boynton Yards at 101 South Street,42.3749751914817,-71.09121257073554,"{'house_number': '52', 'road': 'Earle Street', 'neighbourhood': 'Boynton Yards', 'city': 'Somerville', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02143', 'country': 'United States', 'country_code': 'us'}",Somerville,02143
Bremen St at Marion St,42.37410622047334,-71.03276252757496,"{'amenity': 'Bluebikes', 'road': 'Bremen Street', 'neighbourhood': 'The Flats', 'suburb': 'East Boston', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02128', 'country': 'United States', 'country_code': 'us'}",Boston,02128
Bridge Street Neck,42.528100759379114,-70.88971119000244,"{'house_number': '123', 'road': 'Webb Street', 'city': 'Salem', 'county': 'Essex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '01970', 'country': 'United States', 'country_code': 'us'}",Salem,01970
Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,"{'amenity': 'Harvard Medical School', 'house_number': '25', 'road': 'Shattuck Street', 'suburb': 'Fenway / Kenmore', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02115', 'country': 'United States', 'country_code': 'us'}",Boston,02115
Brighton Center - Washington St at Cambridge St,42.34889279517796,-71.15020871177381,"{'highway': 'Cambridge St @ Washington St', 'road': 'Cambridge Street', 'neighbourhood': 'Brighton Center', 'suburb': 'Brighton', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02135', 'country': 'United States', 'country_code': 'us'}",Boston,02135
Brighton Mills - 370 Western Ave,42.36153013808625,-71.13774126785108,"{'amenity': 'Blue Bikes - Harvard Real Estate - Brighton Mills - 370 Western Ave', 'road': 'Telford Street Extension', 'retail': 'Brighton Mills', 'suburb': 'Brighton', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02134', 'country': 'United States', 'country_code': 'us'}",Boston,02134
Broad Canal Way at Third Street,42.36304549626695,-71.08287078916874,"{'building': 'MIT Building 1', 'house_number': '165', 'road': 'Main Street', 'suburb': 'East Cambridge', 'city': 'Cambridge', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02142', 'country': 'United States', 'country_code': 'us'}",Cambridge,02142
