index,lat,lng,City
Commonwealth Ave At Babcock St,42.35154734791375,-71.12126246094704,Boston
Commonwealth Ave at Agganis Way,42.35169201885973,-71.11903488636017,Boston
Commonwealth Ave at Chiswick Rd,42.34024644768889,-71.15168806174552,Boston
Commonwealth Ave at Griggs St,42.34922469338298,-71.13275302578586,Boston
Commonwealth Ave at Kelton St,42.34831696608522,-71.14003280938422,Boston
Commonwealth Ave at Naples Rd,42.351923253,-71.1237919865,Boston
Community Life Center,42.520136,-70.906271,Salem
Community Path at Cedar Street,42.39407223665884,-71.11133694648743,Somerville
Community Path at Lowell St,42.392525,-71.105587,Somerville
Concord Ave at Spinelli Place,42.390719,-71.1538877,Cambridge
Congress St at Boston City Hall,42.36041774637169,-71.05752243543975,Boston
Congress St at North St,42.36041774637169,-71.05752243543975,Boston
Congress St at Northern Ave,42.3481,-71.03764,Boston
Congress St at Sleeper St,42.351004495946704,-71.04930013418198,Boston
Conway Park - Somerville Avenue,42.383638948222654,-71.10853672027588,Somerville
Conway Park @ Bleachery Ct (Temp Winter Station),42.3836409294306,-71.10868692398071,Somerville
Coolidge Corner - Beacon St at Centre St,42.341577215,-71.12330968,Brookline
Coolidge Sq.,42.37207611472287,-71.15683130688922,Watertown
Copley Square - Dartmouth St at Boylston St,42.34992828230057,-71.07739206866427,Boston
Craigie St at Summer St,42.38831607584243,-71.1106824874878,Somerville
Craigie at Summer St,42.388305537644,-71.11067976811682,Somerville
Cross St at Hanover St,42.362811,-71.056067,Boston
Cummins Highway at Blue Hill Ave T Stop,42.269988465946064,-71.09746182817616,Boston
Cummins at American Legion,42.278811581565975,-71.11687703062671,Boston
Curtis Hall - South St at Centre St,42.309054,-71.11543,Boston
Cypress St at Clark Playground,42.32784317478686,-71.1253622174263,Brookline
Dana Park,42.36178043960605,-71.10809952020645,Cambridge
Danehy Park,42.388966,-71.132788,Cambridge
Danehy Park at New Street,42.389456,-71.139019,Cambridge
Dartmouth St at Newbury St,42.35096144421219,-71.07782810926437,Boston
Davis Square,42.396969,-71.123024,Somerville
Day Sq,42.379295,-71.027733,Boston
Deerfield St at Commonwealth Ave,42.34924376955301,-71.09728209692548,Boston
Derby Street,42.520096183311445,-70.8913904428482,Salem
Discovery Park - 30 Acorn Park Drive,42.39790817368333,-71.14797130814623,Cambridge
Dorchester Ave at Gillette Park,42.34402865000818,-71.05739170326291,Boston
Dorchester Ave at King St,42.29173052,-71.06263188049999,Boston
Dudley Square - Bolling Building,42.329842993518085,-71.08386572459494,Boston
Dudley Square - Dudley St at Warren St,42.32854046293402,-71.08416482806204,Boston
Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,Boston
E Cottage St at Columbia Rd,42.320561,-71.06198,Boston
EF - North Point Park,42.3699556155,-71.07006101900001,Cambridge
East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,Boston
East Somerville Library (Broadway and Illinois),42.38761414525671,-71.08317503343807,Somerville
Edgerly Education Center,42.38717463348314,-71.08714388528824,Somerville
Edwards Playground - Main St at Eden St,42.378965,-71.068607,Boston
Egleston Square - Atherton St at Washington St,42.315692,-71.098634,Boston
Elevate at One Leighton,42.369931,-71.073526,Cambridge
Elm St at White St,42.38952436305763,-71.11694140364307,Somerville
Encore,42.39329263225162,-71.0724475979805,Everett
Essex St at Dalton Parkway,42.516223,-70.905535,Salem
Everett Square (Broadway at Chelsea St),42.40725945172653,-71.05546381333625,Everett
Everett Square (Broadway at Norwood St),42.407050996211325,-71.0558971044824,Everett
Fan Pier,42.3533905070523,-71.04457139968872,Boston
Faneuil St at Arlington St,42.3528611,-71.1600278,Boston
Faneuil St at Market St,42.35484,-71.150226,Boston
Farragut Rd at E. 6th St,42.3334,-71.02495,Boston
Ferry St at Pleasantview Ave,42.40914877754532,-71.04597684005057,Everett
Fields Corner T Stop,42.29963348842063,-71.06068975823291,Boston
Flat 9 at Whittier,42.33420351352245,-71.08767616843123,Boston
Foley St at Grand Union Blvd,42.39301840035393,-71.08071684837341,Somerville
Forest Hills,42.300923,-71.114249,Boston
Forest River Park,42.506395,-70.88693,Salem
Forsyth St at Huntington Ave,42.339202,-71.090511,Boston
Foss Park,42.39108438146733,-71.09039425849915,Somerville
Foss Park 2 (temp for winter),42.390509,-71.09983,Somerville
Four Corners - 157 Washington St,42.30424326469508,-71.07930952329775,Boston
Four Corners/Geneva T Stop,42.30326227591249,-71.07823127506164,Boston
Franklin Park - Seaver St at Humboldt Ave,42.3098678115,-71.092309974,Boston
Franklin Park - Seaver St at Humbolt Ave,42.309796,-71.092225,Boston
Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,Boston
Fresh Pond Reservation,42.38267827521855,-71.143478951426,Cambridge
Galileo Galilei Way at Fulkerson St/Binney St,42.3664204,-71.0885418,Cambridge
